Gender,Age,Occupation,Vintage,Avg_Account_Balance,Is_Lead
Female,80,Other,21,493496,0
Female,54,Self_Employed,20,908494,1
Male,46,Self_Employed,27,473391,1
Male,69,Other,105,863219,1
Male,29,Salaried,13,500785,0
Female,26,Salaried,13,1032773,0
Female,33,Salaried,21,938131,1
Male,31,Other,33,706855,0
Male,27,Other,27,328757,0
Male,27,Salaried,27,708164,0
Male,42,Self_Employed,93,359791,1
Female,63,Other,69,2270639,0
Female,27,Other,21,843346,0
Male,43,Other,32,641485,0
Male,51,Self_Employed,98,1757661,0
Female,27,Self_Employed,20,1349533,0
Female,53,Self_Employed,86,1109741,1
Male,74,Other,105,1388533,1
Female,53,Self_Employed,121,1434849,1
Male,49,Other,93,1037695,1
Female,47,Salaried,81,1381466,1
Male,43,Self_Employed,55,1011467,0
Male,67,Other,93,970945,0
Female,29,Salaried,20,677886,0
Male,26,Other,15,363369,0
Female,39,Self_Employed,37,1987574,0
Male,52,Self_Employed,19,718550,0
Female,30,Other,31,715853,0
Male,49,Self_Employed,97,522857,1
Female,43,Other,43,1136681,0
Male,53,Self_Employed,67,1747550,0
Male,25,Salaried,14,599877,0
Female,45,Other,98,1737573,1
Male,36,Other,19,1085711,1
Male,38,Self_Employed,62,940000,0
Male,26,Other,21,1073607,0
Male,66,Other,67,3007060,0
Male,30,Salaried,32,880156,0
Male,53,Self_Employed,67,1614531,0
Male,47,Self_Employed,49,756170,0
Male,56,Self_Employed,74,796336,1
Female,43,Self_Employed,50,634561,0
Female,51,Self_Employed,43,939911,0
Male,65,Other,63,733983,0
Male,36,Self_Employed,56,478490,0
Male,44,Self_Employed,79,573017,1
Male,29,Salaried,19,452511,0
Female,47,Self_Employed,93,409248,0
Male,47,Self_Employed,19,766423,0
Female,55,Self_Employed,99,537150,0
Male,47,Self_Employed,57,1121818,0
Female,32,Other,31,507967,0
Female,50,Entrepreneur,86,703384,1
Male,53,Other,51,1719399,0
Male,54,Self_Employed,13,468291,1
Female,36,Salaried,14,625589,0
Female,27,Other,21,5027832,0
Male,80,Other,49,5051889,0
Male,27,Other,26,229415,0
Male,41,Self_Employed,14,559979,0
Female,30,Self_Employed,20,426256,0
Female,26,Other,19,1022521,0
Female,34,Salaried,13,334275,0
Female,32,Salaried,20,803429,0
Female,74,Other,45,1352426,0
Male,55,Self_Employed,117,578393,0
Male,38,Self_Employed,61,1149114,0
Male,51,Self_Employed,26,1808613,0
Male,60,Self_Employed,38,2679629,0
Male,61,Self_Employed,109,1521499,0
Male,57,Self_Employed,67,1284367,0
Male,55,Self_Employed,61,542873,0
Female,69,Other,61,2058917,0
Female,31,Salaried,39,583751,0
Male,80,Other,93,1087063,0
Female,46,Self_Employed,97,966326,1
Female,36,Salaried,31,796211,1
Male,34,Salaried,32,1147530,0
Male,52,Self_Employed,74,2542374,0
Male,44,Self_Employed,85,1448181,0
Female,43,Self_Employed,80,1549134,1
Male,31,Salaried,13,2572420,0
Female,74,Other,13,1298599,0
Female,32,Salaried,26,1061752,0
Male,57,Other,115,1122904,1
Male,47,Self_Employed,43,1816783,0
Male,76,Other,63,295017,0
Male,46,Self_Employed,75,1122298,1
Female,64,Other,25,522056,0
Male,33,Self_Employed,27,406480,0
Male,51,Self_Employed,25,495667,0
Male,61,Self_Employed,116,695828,0
Male,50,Self_Employed,55,658742,0
Male,44,Self_Employed,15,713726,0
Male,45,Self_Employed,73,656998,1
Female,46,Self_Employed,93,1351402,0
Male,35,Self_Employed,39,1221961,0
Male,51,Entrepreneur,81,423195,0
Female,26,Salaried,25,655538,0
Female,47,Self_Employed,19,856758,0
Female,73,Other,103,753215,0
Male,30,Other,39,649263,0
Male,61,Self_Employed,79,605004,0
Male,56,Self_Employed,15,740275,0
Male,54,Self_Employed,115,1396481,0
Male,53,Self_Employed,85,1326589,0
Male,75,Other,69,1573591,0
Female,50,Self_Employed,105,1985429,1
Female,29,Salaried,26,676311,0
Male,50,Other,63,1008316,0
Female,26,Salaried,20,546237,0
Male,28,Salaried,27,959758,0
Female,30,Salaried,32,615746,0
Male,25,Salaried,14,546735,0
Male,56,Self_Employed,128,1215935,0
Female,25,Salaried,15,1016575,0
Male,75,Other,97,1039181,1
Male,62,Other,26,1070856,0
Female,40,Self_Employed,50,1658871,0
Male,55,Self_Employed,105,1781219,0
Male,60,Salaried,121,2511473,1
Male,52,Self_Employed,122,769814,1
Female,40,Self_Employed,75,703723,0
Male,52,Self_Employed,92,781055,1
Male,59,Self_Employed,103,1571811,0
Male,45,Other,31,649886,1
Female,55,Self_Employed,67,273176,1
Male,46,Self_Employed,31,1498466,0
Female,59,Other,86,561287,0
Male,30,Other,25,857808,0
Female,31,Salaried,26,870517,0
Male,44,Self_Employed,91,1483665,0
Female,28,Self_Employed,27,1454064,0
Male,51,Other,68,568460,0
Female,28,Other,15,456231,0
Female,73,Other,75,1547923,0
Female,44,Self_Employed,105,475073,0
Male,47,Self_Employed,13,741895,0
Male,58,Other,68,919957,1
Male,35,Salaried,20,1433318,0
Male,58,Self_Employed,57,1051846,1
Female,30,Other,25,413787,0
Female,51,Other,63,559970,0
Male,32,Other,19,675866,0
Female,31,Other,13,1665652,0
Male,41,Self_Employed,31,363342,1
Female,54,Self_Employed,56,3247254,0
Female,27,Salaried,20,595748,0
Female,38,Other,19,428241,1
Female,28,Other,31,923294,0
Female,42,Self_Employed,57,719805,0
Female,30,Salaried,21,525411,0
Male,46,Self_Employed,51,1726030,0
Male,42,Self_Employed,14,1840475,0
Male,52,Self_Employed,105,1390366,1
Male,54,Self_Employed,14,233927,0
Male,37,Self_Employed,15,683012,1
Male,68,Other,79,1672514,0
Female,41,Self_Employed,104,1247379,1
Female,51,Self_Employed,69,932915,0
Female,39,Self_Employed,93,2989963,1
Female,44,Self_Employed,79,1083806,1
Male,44,Other,75,640942,0
Female,29,Other,27,1091255,0
Male,67,Other,86,459685,0
Female,71,Other,57,2927521,0
Female,27,Salaried,19,695401,0
Female,70,Other,57,1839371,0
Male,46,Self_Employed,105,1117163,1
Male,42,Self_Employed,33,356658,0
Female,30,Salaried,19,1077736,0
Male,56,Salaried,103,1023526,1
Male,30,Salaried,31,618594,0
Female,28,Salaried,21,856491,0
Male,49,Self_Employed,55,752245,0
Female,48,Salaried,85,1096827,1
Male,57,Self_Employed,61,535886,0
Male,60,Self_Employed,15,555511,0
Female,54,Other,15,540692,0
Female,26,Salaried,26,667295,1
Female,30,Other,31,751649,0
Female,47,Other,75,407984,0
Male,50,Self_Employed,33,635308,0
Male,51,Self_Employed,115,2033169,0
Female,26,Salaried,20,1037366,0
Male,79,Other,104,1435249,1
Female,77,Other,98,714287,0
Male,24,Salaried,13,275508,0
Female,54,Self_Employed,14,492000,0
Female,52,Self_Employed,15,1527871,0
Male,47,Other,61,965534,0
Female,57,Self_Employed,115,1360240,0
Female,65,Other,27,890827,0
Female,42,Self_Employed,15,275561,1
Male,52,Salaried,92,300294,1
Female,49,Self_Employed,74,476514,0
Female,26,Salaried,20,656241,0
Female,29,Salaried,21,699985,0
Female,37,Self_Employed,15,653607,0
Male,30,Salaried,31,1059998,0
Male,42,Salaried,19,1079392,1
Male,30,Self_Employed,25,848721,0
Male,46,Other,38,358118,1
Male,51,Self_Employed,67,1222779,1
Male,27,Other,14,261864,0
Female,68,Other,13,666182,0
Female,73,Other,25,1286165,0
Male,55,Self_Employed,49,425055,0
Male,52,Other,62,2550499,0
Female,25,Salaried,15,1722764,1
Male,28,Salaried,21,383901,0
Male,62,Other,121,470053,0
Male,51,Other,14,1017207,0
